id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
5262658,Private Cozy Apt in Tokyo 311,17736560,タツロウ (Taturo),練馬区,35.73588,139.63159,建物全体,11951,3,140,2024-05-27,1.23,10,91,13,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,Insta-Homes,練馬区,35.73172,139.66583,一般住宅個室,5800,1,207,2020-04-27,2.18,3,1,0,M130000891
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,タツロウ (Taturo),練馬区,35.7359,139.63151,建物全体,12755,3,54,2024-05-26,0.48,10,91,11,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
5963368,Near池袋-Trad. JP. villa w/ free wifi,29681737,文娟,練馬区,35.7646,139.66835,一般住宅個室,9800,1,44,2024-04-02,0.40,6,340,5,M130001805
6800607,#313 Private Cozy Apt. in Tokyo,17736560,タツロウ (Taturo),練馬区,35.73624,139.63247,建物全体,11951,3,47,2024-05-20,0.43,10,91,5,Hotels and Inns Business Act | 中野区保健所 |  30中環生環第52号
7038653,4番伝統日本家屋都内には珍しい东京日本Free Wifi-3别墅民宿,29681737,文娟,練馬区,35.76288,139.66803,一般住宅個室,7880,1,17,2024-04-06,0.16,6,26,2,M130001805
7038739,伝統日本家屋都内には珍しい东京日本Free Wifi,29681737,文娟,練馬区,35.76455,139.66829,一般住宅個室,10400,1,39,2023-12-26,0.36,6,160,9,M130001805
7940713,IKEBUKURO Comfy room for travellers,29681737,文娟,練馬区,35.763,139.66878,一般住宅個室,10500,1,143,2024-04-07,1.35,6,344,9,M130001805
10505175,东京市中心池袋附进别墅民宿单人房 free wifi,29681737,文娟,練馬区,35.76354,139.67001,一般住宅個室,10800,1,76,2024-04-27,0.74,6,331,14,M130001805
11480601,4-minute train ride from Ikebukuro.,60423969,Haruko,練馬区,35.73293,139.67815,建物全体,7200,1,118,2024-06-01,1.18,2,80,14,M130014352
11555969,26 private cozy room in Tokyo,60002368,Ryo,練馬区,35.73497,139.67073,一般住宅個室,,3,43,2024-05-27,0.43,4,58,5,M130001823
11574788,22 tatami room in Tokyo,60002368,Ryo,練馬区,35.73479,139.67141,一般住宅個室,14133,3,90,2024-05-27,0.90,4,58,11,M130001823
12554792,23 private cozy room in Tokyo,60002368,Ryo,練馬区,35.73426,139.67257,一般住宅個室,11030,3,48,2024-05-28,0.50,4,58,7,M130001823
16383981,東京、練馬、新宿まで25分。短期滞在に最適。マイホームな感覚でお泊りできます！,107324598,馬淵,練馬区,35.76130253358488,139.62014917873415,一般住宅個室,7429,2,109,2024-06-16,1.20,2,307,33,M130000195
16492205,Simple Japanese style room with good access,108306212,美和子,練馬区,35.76882,139.6251,一般住宅個室,7550,2,101,2024-05-07,1.11,1,71,11,M130002490
17110580,25 minutes to Shinjuku! as you are at home!,107324598,馬淵,練馬区,35.76143,139.61809,一般住宅個室,7314,2,142,2024-06-15,1.61,2,316,15,M130000195
17945185,"Shrek Watta House, TOKYO, JAPAN :-))))))",122924743,Kazuo,練馬区,35.72818,139.57533,一般住宅個室,3680,5,17,2024-05-01,0.22,4,89,6,M130008106
17949579,"Shrek Watta House, TOKYO, JAPAN :-)))",122924743,Kazuo,練馬区,35.72636,139.57535,一般住宅個室,3680,5,8,2024-05-04,0.14,4,210,6,M130008106
18082452,Shrek Watta House TOKYO JAPAN :-)))))))),122924743,Kazuo,練馬区,35.72728,139.57584,一般住宅個室,3680,6,4,2024-05-27,0.06,4,259,2,M130008106
18273940,"Cozy and beautiful room with grand piano　Sta, area",49983635,Wakuko,練馬区,35.73937,139.6734,一般住宅個室,8500,1,111,2024-06-16,1.33,1,42,25,M130000889
24664511,2/練馬/駅から徒歩4分/6名可/ハリーポッターリゾート近い/池袋・新宿へ直通/Wi-Fi完備,183877565,UI Home Company,練馬区,35.7395,139.6578,建物全体,22500,2,79,2024-06-19,1.07,70,143,24,Hotels and Inns Business Act | 練馬区保健所 | 29練保所生練環き第66号
27314257,①Retro 2BR JPN apartment w/ gardenーIkebukuro area,199132127,Kimiko,練馬区,35.7481,139.66407,建物全体,14071,2,90,2024-06-15,1.27,7,135,36,M130004812
27314484,③Nostalgic JPN apt w/ garden direct to Shibuya,199132127,Kimiko,練馬区,35.74691,139.66401,建物全体,16571,2,86,2024-06-13,1.20,7,115,34,M130004814
27314615,⑤Nostalgic JPN apt w/ garden direct to Shibuya,199132127,Kimiko,練馬区,35.7488,139.66441,建物全体,14143,2,75,2024-06-17,1.07,7,151,31,M130004815
29947521,Otaku mecca japanese house,225161556,Reiko,練馬区,35.75845,139.5885,建物全体,6714,3,67,2024-06-12,1.05,2,288,14,M130007237
30324235,12Designer studio－4 people－Direct train to Shibuya,199132127,Kimiko,練馬区,35.74651,139.6656,建物全体,8521,2,106,2024-06-03,1.59,7,112,42,Hotels and Inns Business Act | 東京都練馬区保健所  |  30練保所生練環き第 58号 
30324654,22Designer studio－4 people－Direct train to Shibuya,199132127,Kimiko,練馬区,35.74611,139.66768,建物全体,8400,2,81,2024-06-09,1.21,7,89,38,Hotels and Inns Business Act | 東京都練馬区保健所 | 30練保所生練環き第58号
31151905,"Shrek Watta House, TOKYO, JAPAN  :-)",122924743,Kazuo,練馬区,35.72808,139.57628,一般住宅個室,3680,4,13,2024-04-24,0.20,4,219,4,M130008106
31548339,匯家 KAIKE 上板橋和室 ハリー・ポッターまでバスで直行,218849633,BaoRong,練馬区,35.76389,139.66786,建物全体,40000,1,32,2024-04-22,0.49,18,178,3,M130019706
31843422,匯家 KAIKE上板桥2部屋 ハリー・ポッターまでバスで直行 Free wifi 最大5名様6,218849633,BaoRong,練馬区,35.76382,139.6701,建物全体,40000,1,12,2024-05-11,0.65,18,174,7,Hotels and Inns Business Act | 練馬区保健所 | 5練保所生練環き第46号
33124153,"Near Harry Potter StudioTour- English, Mandarin OK",145791504,Yuki,練馬区,35.74847,139.64803,一般住宅個室,26143,2,41,2024-06-02,0.64,1,71,6,M130013704
35237996,"Toshimaen, the only-local-known good place",56566876,Lai,練馬区,35.74524,139.64844,一般住宅個室,10000,3,48,2024-05-27,0.78,10,180,12,M130015253
35338045,【OASIS in Tokyo】Private room in Toshimaen,56566876,Lai,練馬区,35.74474,139.6499,一般住宅個室,10000,3,40,2024-05-27,0.65,10,162,6,M130015253
36362705,"101号,一階,新築,ﾎﾃﾙ,駅徒歩2分,電車新宿19分,渋谷22分,成田最速66分,羽田58分",264597537,Sara,練馬区,35.73894623503966,139.65690130468388,一般住宅個室,10271,1,75,2024-06-01,1.24,6,203,31,Hotels and Inns Business Act | 練馬区保健所 | １練保所生練環き第17号
36486317,"201号, 2階, 新築,ﾎﾃﾙ,駅徒歩2分,電車新宿19分,渋谷22分,成田最速66分,羽田58分",264597537,Sara,練馬区,35.73892,139.65668,一般住宅個室,9200,1,77,2024-06-02,1.27,6,167,31,Hotels and Inns Business Act | 練馬区保健所 | １練保所生練環き第17号
36490164,"202号,2階,新築,ﾎﾃﾙ,駅徒歩2分,電車新宿19分,渋谷22分,成田最速66分,羽田58分",264597537,Sara,練馬区,35.73958,139.65602,一般住宅個室,9000,1,74,2024-06-02,1.23,6,128,33,Hotels and Inns Business Act | 練馬区保健所 | １練保所生練環き第17号
36493589,53-Retro spacious 2BR  apartmentーIkebukuro area,199132127,Kimiko,練馬区,35.74713,139.66601,建物全体,16714,4,43,2024-05-06,0.72,7,141,20,M130017821
36505700,"301号,3階,新築,ﾎﾃﾙ,駅徒歩2分,電車新宿19分,渋谷22分,成田最速66分,羽田58分",264597537,Sara,練馬区,35.73758,139.65655,一般住宅個室,8900,1,65,2024-06-11,1.08,6,142,33,Hotels and Inns Business Act | 練馬区保健所 | １練保所生練環き第17号
36510260,"102号,一階,新築,ﾎﾃﾙ,駅徒歩2分,電車新宿19分,渋谷22分,成田最速66分,羽田58分",264597537,Sara,練馬区,35.73944443275103,139.6547210569603,一般住宅個室,6500,1,84,2024-06-02,1.39,6,86,26,Hotels and Inns Business Act | 練馬区保健所 | １練保所生練環き第17号
36512046,"302号,3階,新築,ﾎﾃﾙ,駅徒歩2分,電車新宿19分,渋谷22分,成田最速66分,羽田58分",264597537,Sara,練馬区,35.73748,139.65504,一般住宅個室,8900,1,72,2024-06-09,1.20,6,143,28,Hotels and Inns Business Act | 練馬区保健所 | １練保所生練環き第17号
36680473,匯家Kaike上板桥三人间 Easy access to Harry potter studio,218849633,BaoRong,練馬区,35.76493385305581,139.65861784458016,建物全体,40000,1,22,2024-05-29,0.40,18,181,11,Hotels and Inns Business Act | 練馬区保健所 | 5練保所生練環き第46号
39188951,Large house in Tokyo with Beautiful Garden,287994369,美恵子,練馬区,35.75225,139.60412,一般住宅個室,,1,12,2023-04-18,0.44,1,0,0,M130019132
42062861,Modern-Japanese Private House w/home & pocket WiFi,51061481,Ayu,練馬区,35.73737,139.6607,建物全体,18214,3,101,2024-06-21,1.91,1,228,48,Hotels and Inns Business Act | 練馬区保健所 | 1練保所生練環き第６２号
49235133,匯家 KAIKE 上板橋三人间 巴士可达哈利波特主题公园1,218849633,BaoRong,練馬区,35.76456,139.67002,建物全体,40000,1,15,2024-05-19,0.49,18,181,9,Hotels and Inns Business Act | 練馬区保健所 | 5練保所生練環き第46号
52395574,匯家 Kaike上板桥 洋室2-3人 巴士可达哈利波特主题公园,218849633,BaoRong,練馬区,35.765066270193486,139.66841432699113,建物全体,40000,1,16,2024-05-24,0.52,18,181,9,Hotels and Inns Business Act | 練馬区保健所 | 5練保所生練環き第46号
52412728,匯家 Kaike上板桥 Easy access to Warner Bros. Studio HP,218849633,BaoRong,練馬区,35.76478,139.66986,建物全体,40000,1,12,2024-06-02,0.59,18,181,10,Hotels and Inns Business Act | 練馬区保健所 | 5練保所生練環き第46号
607613954729552374,匯家 KAIKE上板桥两居室 巴士可达哈利波特主题公园 独立卫浴厨房 free wifi 7,218849633,BaoRong,練馬区,35.7633,139.66858,建物全体,40000,2,8,2024-04-25,0.52,18,174,5,Hotels and Inns Business Act | 練馬区保健所 | 5練保所生練環き第46号
660672921005085806,I want you to stay in an extraordinary space!/FSNM,129096261,Chisaki,練馬区,35.739617725144,139.65467902698362,建物全体,25611,2,90,2024-06-23,3.84,52,271,50,Hotels and Inns Business Act | 練馬区保健所 | 4練保所生練環き第11号
673462099067546115,匯家KAIKE上板桥三人间 巴士可达哈利波特主题公园2,218849633,BaoRong,練馬区,35.76358,139.66996,建物全体,40000,2,13,2024-03-21,0.67,18,177,6,M130030961
680604048539281678,匯家 KAIKE  上板橋 三人间 巴士可达哈利波特主题公园,218849633,BaoRong,練馬区,35.7633,139.66955,建物全体,40000,1,12,2023-11-18,0.65,18,177,4,M130030962
701798956429955421,匯家 KAIKE 上板橋 三人间 巴士可达哈利波特主题公园4,218849633,BaoRong,練馬区,35.76349,139.66985,建物全体,40000,1,9,2024-04-02,0.57,18,177,5,M130030964
705245305171487200,匯家Kaike上板桥三人间Easy access to Warner Bros.Studio HP5,218849633,BaoRong,練馬区,35.7632,139.66855,建物全体,40000,2,15,2024-04-22,0.79,18,177,9,M130030960
747621428502641298,２０２室ー池袋駅へアクセスやすい都会の静かな住宅街にある個室（シングルベッドX２、デスクあり）,29977398,David,練馬区,35.7543828870814,139.5760083907379,一般住宅個室,8943,1,7,2024-04-02,0.36,5,90,4,M130031952
765435502514303040,Easy access to Ikebukuro /a quiet area in the city,29977398,David,練馬区,35.75805,139.57541,一般住宅個室,9286,1,5,2024-04-08,0.32,5,90,3,M130031952
766844800808001564,２０１室-池袋駅へアクセスやすい都会の静かな住宅街にある個室,29977398,David,練馬区,35.7544,139.575933,一般住宅個室,8943,1,9,2024-05-07,0.49,5,82,3,M130031952
817552568449586881,二部屋最大5人とまれます、全自動トイレ換気エアコン、風呂付き,499089885,Suojuan,練馬区,35.760769719924,139.64731268584728,一般住宅個室,26800,1,2,2024-03-24,0.41,4,360,2,M130000901
818630336858803170,庭付き一軒家で、日本伝統的な和室、洋室あります、,499089885,Suojuan,練馬区,35.76230349925968,139.64737105769484,一般住宅個室,39800,2,0,,,4,357,0,M130000901
837509722787558297,2LDK/Quiet area/Free parking space/Home WIFI,503353324,Ai,練馬区,35.73437,139.625902,建物全体,14100,3,23,2024-06-12,1.51,5,73,16,M130024311
840821924502829630,15min to Ikebukuro/Japan Local Home/Very flexible,475993865,Yuchan,練馬区,35.767161,139.6618401,一般住宅個室,10634,3,16,2024-04-03,1.11,3,185,11,M130033471
863309400732352009,7 min sta./Higashi-Nagasaki(東長崎)/free wifi#31,507585442,Taiga,練馬区,35.73330027196517,139.67839946780134,建物全体,13476,2,41,2024-06-25,3.00,9,232,37,Hotels and Inns Business Act | 豊島区池袋保健所 | 5豊池保衛環き第1号
863378515461590947,7 min sta./Higashi-Nagasaki(東長崎)/free wifi#12,507585442,Taiga,練馬区,35.73197137085443,139.67831779640503,建物全体,10932,2,45,2024-06-28,3.26,9,182,40,Hotels and Inns Business Act | 豊島区池袋保健所 | 5豊池保衛環き第1号
869911875695395644,15min to Ikebukuro/Japan Local Home/Very flexible,475993865,Yuchan,練馬区,35.767161,139.6618401,一般住宅個室,8057,3,20,2024-05-23,1.41,3,89,15,M130033471
870503456688593487,15min to Ikebukuro/Japan Local Home/threesome max,475993865,Yuchan,練馬区,35.767161,139.6618401,一般住宅個室,19503,2,0,,,3,141,0,M130033471
887313978414782372,喜美民宿双人房（非独立卫浴）,513564293,旭昭,練馬区,35.7400632,139.6324577,一般住宅個室,,1,0,,,4,0,0,M130020724
890175823901441175,喜美民宿单人房（非独立卫浴）,513564293,旭昭,練馬区,35.74377172148151,139.63107968302035,一般住宅個室,6857,1,3,2023-10-08,0.25,4,148,3,M130020725
890199509573985394,东京练马喜美民宿101,513564293,旭昭,練馬区,35.74253891071583,139.6325608952111,一般住宅個室,,1,0,,,4,0,0,M130020725
892441335067499014,【For monthly】Toshimaen Home,56566876,Lai,練馬区,35.74508,139.6497,一般住宅個室,7500,30,3,2023-12-01,0.27,10,346,3,M130015253
892452703768982147,【マンスリー用】豊島園ホーム,56566876,Lai,練馬区,35.74437,139.64797,一般住宅個室,6000,30,1,2023-09-02,0.10,10,365,1,M130015253
949126159636774650,大泉学園ヴィラー静かな住宅街に位置するまるまる貸し切り一軒家,29977398,David,練馬区,35.7544023805,139.57595385339997,建物全体,39143,1,0,,,5,269,0,M130031952
957118458292072409,池袋まで4分、主要駅アクセス便利、6名様向け、コンビニ1分、WiFi無料、明るく清潔で快適な一軒家,531580400,Akiko,練馬区,35.733,139.67868,建物全体,22558,1,10,2024-06-06,2.17,2,43,10,M130037727
966392837474380663,The room with tea ceremony experience,225161556,Reiko,練馬区,35.75734776488724,139.58743193502758,建物全体,,7,1,2024-02-16,0.22,2,0,1,M130017679
999907260790719161,"【ペット可能】好アクセスの新築マンション, 東京観光から東京の仮暮らしにおすすめ！",537482347,Unito,練馬区,35.75219,139.66864,建物全体,,2,23,2024-06-14,3.25,4,7,23,M130036274
999910378934333267,【ペット可能！】ドッグラン付き新築マンションでペットとの東京ライフを！,537482347,Unito,練馬区,35.750916548173315,139.67075074317515,建物全体,12000,2,9,2024-06-16,1.22,4,119,9,M130036337
999911981938361623,【新宿まで直通20分！渋谷まで直通30分！】新築マンションで快適な東京ライフ！,537482347,Unito,練馬区,35.75257802273519,139.67005995975097,建物全体,11571,2,25,2024-06-09,3.55,4,14,25,M130036338
999913607865451374,【ペットとの滞在可能！】ドッグランそばの新築アパートメント！,537482347,Unito,練馬区,35.75037,139.66926,建物全体,50571,2,20,2024-06-15,2.59,4,84,20,M130036339
1036038191381899454,日式风格独栋池袋周边3间卧室 小竹の宿kodake yado,548806702,李,練馬区,35.7547581,139.6486466,建物全体,18657,1,34,2024-06-16,5.02,1,29,34,M130037228
1074304373101781274,ハリー・ポッタースタジオ近い/最大11人/貸切一軒家/喫煙所あり/寝室5部屋/練馬区/富士見台駅6分,557918692,Chunling,練馬区,35.7375474,139.6239516,建物全体,24544,2,7,2024-06-08,1.84,1,144,7,M130035712
1090972168444613968,"Nana House Nerima- Entire House, near Harry Potter",561971758,Thi Lien,練馬区,35.730137050638916,139.66064942608205,建物全体,8958,1,5,2024-06-25,2.05,2,247,5,M130038441
1128460631497892322,四部屋、トイレシャワー2セット最大十人泊まれる一軒家。庭付き。,499089885,Suojuan,練馬区,35.7612735,139.6462255,建物全体,39800,1,0,,,4,265,0,M130000901
1141931825349253279,"Nana House Ekoda - Entire House, near Harry Potter",561971758,Thi Lien,練馬区,35.73762255854824,139.6802932473531,建物全体,12823,1,3,2024-06-17,2.65,2,198,3,M130040359
1159007586459953310,Brand new!Let’s go Harry Potter!,563506288,志村,練馬区,35.7486525357663,139.6487136831448,建物全体,10286,1,8,2024-06-24,8,2,317,8,M130041229
1167199594858497485,ハリーポッターに行こう!part2.豊島園駅７分、庭の湯・スタジオツアー５分新築オープン3階！,563506288,志村,練馬区,35.749,139.649,建物全体,11707,1,1,2024-06-23,1,2,344,1,M130041230
1182415325545978512,練馬站步行2分钟101,518343589,Alice,練馬区,35.74085103947097,139.6514828873355,建物全体,6400,7,0,,,20,226,0,M130041591
1183275623527862716,練馬站步行2分钟102,518343589,Alice,練馬区,35.73872880291184,139.65262908914116,建物全体,8000,7,0,,,20,269,0,M130041592
1183279056739203673,練馬站步行2分钟201,518343589,Alice,練馬区,35.73861575550338,139.65265067374045,建物全体,8000,7,0,,,20,257,0,M130041593
1183281756571612568,練馬站步行2分钟202,518343589,Alice,練馬区,35.73879978243674,139.6517823588765,建物全体,8000,7,0,,,20,269,0,M130041594
